id,symbol,# of Res Gene was in
HGNC:9842,RALGDS,2
HGNC:9859,RAP1GDS1,2
HGNC:10011,RHEB,2
HGNC:686,RHOH,2
HGNC:21876,RINT1,2
HGNC:28349,RMI2,2
HGNC:14539,RNF213,2
HGNC:10298,RPL10,2
HGNC:10315,RPL22,2
HGNC:10381,RPN1,2
HGNC:18118,RSF1,2
HGNC:20866,RSPO3,2
HGNC:10472,RUNX2,2
HGNC:10661,SDC4,2
HGNC:9164,SEPTIN5,2
HGNC:15848,SEPTIN6,2
HGNC:7323,SEPTIN9,2
HGNC:10760,SET,2
HGNC:10830,SH3GL1,2
HGNC:25543,SHQ1,2
HGNC:14929,SIRT1,2
HGNC:11020,SLC34A2,2
HGNC:11086,SLIT2,2
HGNC:6769,SMAD3,2
HGNC:11097,SMARCA1,2
HGNC:11109,SMARCE1,2
HGNC:11111,SMC1A,2
HGNC:2468,SMC3,2
HGNC:30542,SNX29,2
HGNC:19391,SOCS3,2
HGNC:11180,SOD2,2
HGNC:11270,SPRY2,2
HGNC:19744,SRGAP3,2
HGNC:10785,SRSF3,2
HGNC:11340,SS18,2
HGNC:11336,SSX2,2
HGNC:11338,SSX4,2
HGNC:11362,STAT1,2
HGNC:11535,TAF1,2
HGNC:11547,TAF15,2
HGNC:11556,TAL1,2
HGNC:11557,TAL2,2
HGNC:11724,TEK,2
HGNC:11752,TFE3,2
HGNC:11758,TFG,2
HGNC:13630,TFPT,2
HGNC:11763,TFRC,2
HGNC:11774,TGFBR3,2
HGNC:5056,TLX1,2
HGNC:11999,TP53BP1,2
HGNC:12012,TPM3,2
HGNC:12013,TPM4,2
HGNC:12033,TRAF3,2
HGNC:11812,TRIM24,2
HGNC:12305,TRIP11,2
HGNC:12347,TRRAP,2
HGNC:12397,TTF1,2
HGNC:21586,TTL,2
HGNC:30242,TUSC3,2
HGNC:12441,TYMS,2
HGNC:12530,UGT1A1,2
HGNC:12629,USP6,2
HGNC:12761,WEE1,2
HGNC:18081,WIF1,2
HGNC:12776,WNT11,2
HGNC:12791,WRN,2
HGNC:24042,WWTR1,2
HGNC:12814,XPA,2
HGNC:12816,XPC,2
HGNC:12828,XRCC1,2
HGNC:12829,XRCC2,2
HGNC:777,ZFHX3,2
HGNC:18513,ZHX2,2
HGNC:12989,ZMYM2,2
HGNC:13054,ZMYM3,2
HGNC:11955,ZNF384,2
HGNC:24605,ZNF521,2
HGNC:25883,ZNF703,2
HGNC:18126,ZNRF3,2
HGNC:52,ABCC10,1
HGNC:24011,ABI2,1
HGNC:108,ACHE,1
HGNC:23692,ACKR3,1
HGNC:3570,ACSL3,1
HGNC:129,ACTA1,1
HGNC:130,ACTA2,1
HGNC:132,ACTB,1
HGNC:24124,ACTL6A,1
HGNC:18123,ACVR1C,1
HGNC:177,ACY1,1
HGNC:17110,ADAMTS18,1
HGNC:224,ADAMTS8,1
HGNC:13202,ADAMTS9,1
HGNC:42435,ADAMTS9-AS2,1
HGNC:226,ADARB1,1
HGNC:17849,ADGRA2,1
HGNC:269,ADPRH,1
HGNC:303,AEBP1,1
HGNC:25901,AFAP1L2,1
HGNC:6473,AFF3,1
HGNC:328,AGR2,1
HGNC:336,AGTR1,1
HGNC:344,AHCYL1,1
HGNC:347,AHNAK,1
HGNC:348,AHR,1
HGNC:346,AHRR,1
HGNC:352,AIF1,1
HGNC:357,AIM2,1
HGNC:10648,AIMP1,1
HGNC:20609,AIMP2,1
HGNC:358,AIP,1
HGNC:30801,AJAP1,1
HGNC:20250,AJUBA,1
HGNC:370,AKAP12,1
HGNC:379,AKAP9,1
HGNC:381,AKR1B1,1
HGNC:400,ALCAM,1
HGNC:404,ALDH2,1
HGNC:433,ALOX15,1
HGNC:434,ALOX15B,1
HGNC:438,ALPL,1
HGNC:464,AMH,1
HGNC:19988,ANAPC1,1
HGNC:16039,ANGPTL4,1
HGNC:13233,ANP32A,1
HGNC:533,ANXA1,1
HGNC:545,ANXA7,1
HGNC:576,APAF1,1
HGNC:29509,APH1A,1
HGNC:339,APLNR,1
HGNC:603,APOB,1
HGNC:651,AREG,1
HGNC:652,ARF1,1
HGNC:663,ARG1,1
HGNC:30207,ARHGAP29,1
HGNC:4591,ARHGAP35,1
HGNC:24046,ARL11,1
HGNC:16937,ARL6IP5,1
HGNC:21706,ARMC10,1
HGNC:25781,ARMC5,1
